"verb","sentence"
"limit","our high level of debt and other obligations may limit our ability to fund general corporate requirements and obtain additional financing, may limit our flexibility in responding to competitive developments and cause our business to be vulnerable to adverse economic and industry conditions."
"fund","our high level of debt and other obligations may limit our ability to fund general corporate requirements and obtain additional financing, may limit our flexibility in responding to competitive developments and cause our business to be vulnerable to adverse economic and industry conditions."
"obtain","our high level of debt and other obligations may limit our ability to fund general corporate requirements and obtain additional financing, may limit our flexibility in responding to competitive developments and cause our business to be vulnerable to adverse economic and industry conditions."
"may","our high level of debt and other obligations may limit our ability to fund general corporate requirements and obtain additional financing, may limit our flexibility in responding to competitive developments and cause our business to be vulnerable to adverse economic and industry conditions."
"limit","our high level of debt and other obligations may limit our ability to fund general corporate requirements and obtain additional financing, may limit our flexibility in responding to competitive developments and cause our business to be vulnerable to adverse economic and industry conditions."
"responding","our high level of debt and other obligations may limit our ability to fund general corporate requirements and obtain additional financing, may limit our flexibility in responding to competitive developments and cause our business to be vulnerable to adverse economic and industry conditions."
"NONE","we have significant amounts of indebtedness and other obligations, including pension obligations, obligations to make future payments on flight equipment and property leases related to airport and other facilities, and substantial non-cancelable obligations under aircraft and related spare engine purchase agreements."
"NONE","moreover, currently a substantial portion of our assets are pledged to secure our indebtedness."
"NONE","our substantial indebtedness and other obligations, which are generally greater than the indebtedness and other obligations of our competitors, could have important consequences."
"NONE","for example, they: ."
"NONE","may make it more difficult for us to satisfy our obligations under our indebtedness; ."
"may","may limit our ability to obtain additional funding for working capital, capital expenditures, acquisitions, investments, integration costs, and general corporate purposes, and adversely affect the terms on which such funding can be obtained; ."
"limit","may limit our ability to obtain additional funding for working capital, capital expenditures, acquisitions, investments, integration costs, and general corporate purposes, and adversely affect the terms on which such funding can be obtained; ."
"obtain","may limit our ability to obtain additional funding for working capital, capital expenditures, acquisitions, investments, integration costs, and general corporate purposes, and adversely affect the terms on which such funding can be obtained; ."
"working","may limit our ability to obtain additional funding for working capital, capital expenditures, acquisitions, investments, integration costs, and general corporate purposes, and adversely affect the terms on which such funding can be obtained; ."
"can","may limit our ability to obtain additional funding for working capital, capital expenditures, acquisitions, investments, integration costs, and general corporate purposes, and adversely affect the terms on which such funding can be obtained; ."
"obtained","may limit our ability to obtain additional funding for working capital, capital expenditures, acquisitions, investments, integration costs, and general corporate purposes, and adversely affect the terms on which such funding can be obtained; ."
"NONE","require us to dedicate a substantial portion of our cash flow from operations to payments on our indebtedness and other obligations, thereby reducing the funds available for other purposes; ."
"NONE","make us more vulnerable to economic downturns, industry conditions and catastrophic external events, particularly relative to competitors with lower relative levels of financial leverage; ."
"NONE","contain covenants requiring us to maintain an aggregate of at least $2."
"NONE","0 billion of unrestricted cash and cash equivalents and amounts available to be drawn under revolving credit facilities; ."
"NONE","contain restrictive covenants that could, among other things: ."
"NONE","limit our ability to merge, consolidate, sell assets, incur additional indebtedness, issue preferred stock, make investments and pay dividends; ."
"NONE","significantly constrain our ability to respond, or respond quickly, to unexpected disruptions in our own operations, the u. s.  or global economies, or the businesses in which we operate, or to take advantage of opportunities that would improve our business, operations, or competitive position versus other airlines; ."
"NONE","limit our ability to withstand competitive pressures and reduce our flexibility in responding to changing business and economic conditions; and ."
"result","result in an event of default under our indebtedness."
"NONE","further, a substantial portion of our long-term indebtedness bears interest at fluctuating interest rates, primarily based on the london interbank offered rate (libor) for deposits of u. s.  dollars."
"NONE","libor tends to fluctuate based on general short-term interest rates, rates set by the u. s.  federal reserve and other central banks, the supply of and demand for credit in the london interbank market and general economic conditions."
"NONE","we have not hedged our interest rate exposure with respect to our floating rate debt."
"NONE","accordingly, our interest expense for any particular period will fluctuate based on libor and other 19variable interest rates."
"floating","to the extent the interest rates applicable to our floating rate debt increase, our interest expense will increase, in which event we may have difficulties making interest payments and funding our other fixed costs, and our available cash flow for general corporate requirements may be adversely affected."
"will","to the extent the interest rates applicable to our floating rate debt increase, our interest expense will increase, in which event we may have difficulties making interest payments and funding our other fixed costs, and our available cash flow for general corporate requirements may be adversely affected."
"increase","to the extent the interest rates applicable to our floating rate debt increase, our interest expense will increase, in which event we may have difficulties making interest payments and funding our other fixed costs, and our available cash flow for general corporate requirements may be adversely affected."
"may","to the extent the interest rates applicable to our floating rate debt increase, our interest expense will increase, in which event we may have difficulties making interest payments and funding our other fixed costs, and our available cash flow for general corporate requirements may be adversely affected."
"making","to the extent the interest rates applicable to our floating rate debt increase, our interest expense will increase, in which event we may have difficulties making interest payments and funding our other fixed costs, and our available cash flow for general corporate requirements may be adversely affected."
"funding","to the extent the interest rates applicable to our floating rate debt increase, our interest expense will increase, in which event we may have difficulties making interest payments and funding our other fixed costs, and our available cash flow for general corporate requirements may be adversely affected."
"fixed","to the extent the interest rates applicable to our floating rate debt increase, our interest expense will increase, in which event we may have difficulties making interest payments and funding our other fixed costs, and our available cash flow for general corporate requirements may be adversely affected."
"may","to the extent the interest rates applicable to our floating rate debt increase, our interest expense will increase, in which event we may have difficulties making interest payments and funding our other fixed costs, and our available cash flow for general corporate requirements may be adversely affected."
"NONE","on july 27, 2017, the financial conduct authority (the authority that regulates libor) announced that it intends to stop compelling banks to submit rates for the calculation of libor after 2021.  it is unclear whether new methods of calculating libor will be established such that it continues to exist after 2021.  the u. s.  federal reserve, in conjunction with the alternative reference rates committee, is considering replacing u. s.  dollar libor with a newly created index, calculated based on repurchase agreements backed by treasury securities."
"predict","it is not possible to predict the effect of these changes, other reforms or the establishment of alternative reference rates in the united kingdom, the united states or elsewhere."
"NONE","see also the discussion of interest rate risk in part ii, item 7a."
"NONE","quantitative and qualitative disclosures about market risk “interest."
"obtain","”these obligations also impact our ability to obtain additional financing, if needed, and our flexibility in the conduct of our business, and could materially adversely affect our liquidity, results of operations and financial condition."
"needed","”these obligations also impact our ability to obtain additional financing, if needed, and our flexibility in the conduct of our business, and could materially adversely affect our liquidity, results of operations and financial condition."
"could","”these obligations also impact our ability to obtain additional financing, if needed, and our flexibility in the conduct of our business, and could materially adversely affect our liquidity, results of operations and financial condition."
"NONE","we will need to obtain sufficient financing or other capital to operate successfully."
"NONE","our business plan contemplates continued significant investments related to modernizing our fleet, improving the experience of our customers and updating our facilities."
"NONE","significant capital resources will be required to execute this plan."
"NONE","we estimate that, based on our commitments as of december 31, 2018, our planned aggregate expenditures for aircraft purchase commitments and certain engines on a consolidated basis for calendar years 2019-2023 would be approximately $8."
"NONE","4 billion."
"NONE","accordingly, we will need substantial financing or other capital resources to finance such aircraft and engines."
"NONE","if we are unable to arrange financing for such aircraft and engines at customary advance rates and on terms and conditions acceptable to us, we may need to use cash from operations or cash on hand to purchase such aircraft and engines or may seek to negotiate deferrals for such aircraft and engines with the applicable aircraft and engine manufacturers."
"NONE","depending on numerous factors applicable at the time we seek capital, many of which are out of our control, such as the state of the domestic and global economies, the capital and credit markets’ view of our prospects and the airline industry in general, and the general availability of debt and equity capital, the financing or other capital resources that we will need may not be available to us, or may be available only on onerous terms and conditions."
"NONE","there can be no assurance that we will be successful in obtaining financing or other needed sources of capital to operate successfully."
"obtain","an inability to obtain necessary financing on acceptable terms would have a material adverse impact on our business, results of operations and financial condition."
"may","we have significant pension and other postretirement benefit funding obligations, which may adversely affect our liquidity, results of operations and financial condition."
"NONE","our pension funding obligations are significant."
"NONE","the amount of these obligations will depend on the performance of investments held in trust by the pension plans, interest rates for determining liabilities and actuarial experience."
"NONE","the minimum funding obligation applicable to our pension plans was subject to favorable temporary funding rules that expired at the end of 2017 and, as a result, our minimum pension funding obligations will increase materially beginning in 2019.  in addition, we may have significant obligations for other postretirement benefits, retiree medical and other postretirement benefits."
"may","if our financial condition worsens, provisions in our credit card processing and other commercial agreements may adversely affect our liquidity."
"NONE","we have agreements with companies that process customer credit card transactions for the sale of air travel and other services."
"NONE","these agreements allow these credit card processing companies, under certain conditions (including, with respect to certain agreements, the failure of american to maintain certain levels of liquidity), to hold an amount of our cash (a holdback) equal to some or all of the advance ticket sales that have been processed by that credit card processor, but for which we have not yet provided the air transportation."
"entitled","these credit card processing companies are not currently entitled to maintain any holdbacks pursuant to these requirements."
"maintain","these credit card processing companies are not currently entitled to maintain any holdbacks pursuant to these requirements."
"NONE","these holdback requirements can be modified at the discretion of the credit card processing companies upon the occurrence of specific events, including material adverse changes in our financial condition."
"NONE","an increase in the current holdbacks, up to and including 100% of relevant advanced ticket sales, would materially reduce our liquidity."
"NONE","likewise, other of our commercial agreements contain provisions that allow other entities to impose less-favorable terms, including the acceleration of amounts due, in the event of material adverse changes in our financial condition."
"related","20union disputes, employee strikes and other labor-related disruptions, or our inability to otherwise maintain labor costs at competitive levels may adversely affect our operations and financial performance."
"maintain","20union disputes, employee strikes and other labor-related disruptions, or our inability to otherwise maintain labor costs at competitive levels may adversely affect our operations and financial performance."
"may","20union disputes, employee strikes and other labor-related disruptions, or our inability to otherwise maintain labor costs at competitive levels may adversely affect our operations and financial performance."
"NONE","relations between air carriers and labor unions in the u. s.  are governed by the rla."
"NONE","under the rla, cbas generally contain “amendable dates” rather than expiration dates, and the rla requires that a carrier maintain the existing terms and conditions of employment following the amendable date through a multi-stage and usually lengthy series of bargaining processes overseen by the nmb."
"NONE","for the dates that the cbas with our major work groups become amendable under the rla, see part i, item 1.  business “employees and labor relations."
"NONE","”in the case of a cba that is amendable under the rla, if no agreement is reached during direct negotiations between the parties, either party may request that the nmb appoint a federal mediator."
"NONE","the rla prescribes no timetable for the direct negotiation and mediation processes, and it is not unusual for those processes to last for many months or even several years."
"NONE","if no agreement is reached in mediation, the nmb in its discretion may declare that an impasse exists and proffer binding arbitration to the parties."
"NONE","either party may decline to submit to arbitration, and if arbitration is rejected by either party, a 30-day “cooling off” period commences."
"NONE","during or after that period, a peb may be established, which examines the parties’ positions and recommends a solution."
"NONE","the peb process lasts for 30 days and is followed by another 30-day “cooling off” period."
"cooling","at the end of a “cooling off” period, unless an agreement is reached or action is taken by congress, the labor organization may exercise “self-help,” such as a strike, which could materially adversely affect our business, results of operations and financial condition."
"reached","at the end of a “cooling off” period, unless an agreement is reached or action is taken by congress, the labor organization may exercise “self-help,” such as a strike, which could materially adversely affect our business, results of operations and financial condition."
"taken","at the end of a “cooling off” period, unless an agreement is reached or action is taken by congress, the labor organization may exercise “self-help,” such as a strike, which could materially adversely affect our business, results of operations and financial condition."
"may","at the end of a “cooling off” period, unless an agreement is reached or action is taken by congress, the labor organization may exercise “self-help,” such as a strike, which could materially adversely affect our business, results of operations and financial condition."
"exercise","at the end of a “cooling off” period, unless an agreement is reached or action is taken by congress, the labor organization may exercise “self-help,” such as a strike, which could materially adversely affect our business, results of operations and financial condition."
"could","at the end of a “cooling off” period, unless an agreement is reached or action is taken by congress, the labor organization may exercise “self-help,” such as a strike, which could materially adversely affect our business, results of operations and financial condition."
"NONE","none of the unions representing our employees presently may lawfully engage in concerted slowdowns or refusals to work, such as strikes, sick-outs or other similar activity, against us."
"NONE","nonetheless, there is a risk that disgruntled employees, either with or without union involvement, could engage in one or more concerted refusals to work that could individually or collectively harm the operation of our airline and impair our financial performance."
"NONE","additionally, some of our unions have brought and may continue to bring grievances to binding arbitration, including those related to wages."
"could","if successful, there is a risk these judicial or arbitral avenues could result in material additional costs that we did not anticipate."
"result","if successful, there is a risk these judicial or arbitral avenues could result in material additional costs that we did not anticipate."
"anticipate","if successful, there is a risk these judicial or arbitral avenues could result in material additional costs that we did not anticipate."
"NONE","see also part i, item 1.  business “employees and labor relations."
"NONE","” as of december 31, 2018, approximately 84% of our employees were represented for collective bargaining purposes by labor unions."
"NONE","currently, we believe our labor costs are competitive relative to the other large network carriers."
"can","however, we cannot provide assurance that labor costs going forward will remain competitive because we are in negotiations for some new agreements now and other agreements may become amendable, competitors may significantly reduce their labor costs or we may agree to higher-cost provisions unilaterally or in connection with our current or future labor negotiations."
"provide","however, we cannot provide assurance that labor costs going forward will remain competitive because we are in negotiations for some new agreements now and other agreements may become amendable, competitors may significantly reduce their labor costs or we may agree to higher-cost provisions unilaterally or in connection with our current or future labor negotiations."
"going","however, we cannot provide assurance that labor costs going forward will remain competitive because we are in negotiations for some new agreements now and other agreements may become amendable, competitors may significantly reduce their labor costs or we may agree to higher-cost provisions unilaterally or in connection with our current or future labor negotiations."
"will","however, we cannot provide assurance that labor costs going forward will remain competitive because we are in negotiations for some new agreements now and other agreements may become amendable, competitors may significantly reduce their labor costs or we may agree to higher-cost provisions unilaterally or in connection with our current or future labor negotiations."
"remain","however, we cannot provide assurance that labor costs going forward will remain competitive because we are in negotiations for some new agreements now and other agreements may become amendable, competitors may significantly reduce their labor costs or we may agree to higher-cost provisions unilaterally or in connection with our current or future labor negotiations."
"may","however, we cannot provide assurance that labor costs going forward will remain competitive because we are in negotiations for some new agreements now and other agreements may become amendable, competitors may significantly reduce their labor costs or we may agree to higher-cost provisions unilaterally or in connection with our current or future labor negotiations."
"become","however, we cannot provide assurance that labor costs going forward will remain competitive because we are in negotiations for some new agreements now and other agreements may become amendable, competitors may significantly reduce their labor costs or we may agree to higher-cost provisions unilaterally or in connection with our current or future labor negotiations."
"may","however, we cannot provide assurance that labor costs going forward will remain competitive because we are in negotiations for some new agreements now and other agreements may become amendable, competitors may significantly reduce their labor costs or we may agree to higher-cost provisions unilaterally or in connection with our current or future labor negotiations."
"reduce","however, we cannot provide assurance that labor costs going forward will remain competitive because we are in negotiations for some new agreements now and other agreements may become amendable, competitors may significantly reduce their labor costs or we may agree to higher-cost provisions unilaterally or in connection with our current or future labor negotiations."
"may","however, we cannot provide assurance that labor costs going forward will remain competitive because we are in negotiations for some new agreements now and other agreements may become amendable, competitors may significantly reduce their labor costs or we may agree to higher-cost provisions unilaterally or in connection with our current or future labor negotiations."
"agree","however, we cannot provide assurance that labor costs going forward will remain competitive because we are in negotiations for some new agreements now and other agreements may become amendable, competitors may significantly reduce their labor costs or we may agree to higher-cost provisions unilaterally or in connection with our current or future labor negotiations."
"could","interruptions or disruptions in service at one of our key facilities could have a material adverse impact on our operations."
"NONE","we operate principally through hubs in charlotte, chicago, dallas/fort worth, los angeles, miami, new york, philadelphia, phoenix and washington, d. c.  substantially all of our flights either originate at or fly into one of these locations."
"resulting","a significant interruption or disruption in service at one of our hubs or other airports where we have a significant presence, such as lhr, resulting from atc delays, weather conditions, natural disasters, growth constraints, performance by third-party service providers (such as electric utility or telecommunications providers), failure of computer systems, disruptions at airport facilities or other key facilities used by us to manage our operations (such as occurred in the united kingdom at lgw on december 20, 2018 and lhr on january 8, 2019 due to unauthorized drone activity), labor relations, power supplies, fuel supplies, terrorist activities, or otherwise could result in the cancellation or delay of a significant portion of our flights and, as a result, could have a severe impact on our business, results of operations and financial condition."
"used","a significant interruption or disruption in service at one of our hubs or other airports where we have a significant presence, such as lhr, resulting from atc delays, weather conditions, natural disasters, growth constraints, performance by third-party service providers (such as electric utility or telecommunications providers), failure of computer systems, disruptions at airport facilities or other key facilities used by us to manage our operations (such as occurred in the united kingdom at lgw on december 20, 2018 and lhr on january 8, 2019 due to unauthorized drone activity), labor relations, power supplies, fuel supplies, terrorist activities, or otherwise could result in the cancellation or delay of a significant portion of our flights and, as a result, could have a severe impact on our business, results of operations and financial condition."
"manage","a significant interruption or disruption in service at one of our hubs or other airports where we have a significant presence, such as lhr, resulting from atc delays, weather conditions, natural disasters, growth constraints, performance by third-party service providers (such as electric utility or telecommunications providers), failure of computer systems, disruptions at airport facilities or other key facilities used by us to manage our operations (such as occurred in the united kingdom at lgw on december 20, 2018 and lhr on january 8, 2019 due to unauthorized drone activity), labor relations, power supplies, fuel supplies, terrorist activities, or otherwise could result in the cancellation or delay of a significant portion of our flights and, as a result, could have a severe impact on our business, results of operations and financial condition."
"occurred","a significant interruption or disruption in service at one of our hubs or other airports where we have a significant presence, such as lhr, resulting from atc delays, weather conditions, natural disasters, growth constraints, performance by third-party service providers (such as electric utility or telecommunications providers), failure of computer systems, disruptions at airport facilities or other key facilities used by us to manage our operations (such as occurred in the united kingdom at lgw on december 20, 2018 and lhr on january 8, 2019 due to unauthorized drone activity), labor relations, power supplies, fuel supplies, terrorist activities, or otherwise could result in the cancellation or delay of a significant portion of our flights and, as a result, could have a severe impact on our business, results of operations and financial condition."
"could","a significant interruption or disruption in service at one of our hubs or other airports where we have a significant presence, such as lhr, resulting from atc delays, weather conditions, natural disasters, growth constraints, performance by third-party service providers (such as electric utility or telecommunications providers), failure of computer systems, disruptions at airport facilities or other key facilities used by us to manage our operations (such as occurred in the united kingdom at lgw on december 20, 2018 and lhr on january 8, 2019 due to unauthorized drone activity), labor relations, power supplies, fuel supplies, terrorist activities, or otherwise could result in the cancellation or delay of a significant portion of our flights and, as a result, could have a severe impact on our business, results of operations and financial condition."
"result","a significant interruption or disruption in service at one of our hubs or other airports where we have a significant presence, such as lhr, resulting from atc delays, weather conditions, natural disasters, growth constraints, performance by third-party service providers (such as electric utility or telecommunications providers), failure of computer systems, disruptions at airport facilities or other key facilities used by us to manage our operations (such as occurred in the united kingdom at lgw on december 20, 2018 and lhr on january 8, 2019 due to unauthorized drone activity), labor relations, power supplies, fuel supplies, terrorist activities, or otherwise could result in the cancellation or delay of a significant portion of our flights and, as a result, could have a severe impact on our business, results of operations and financial condition."
"could","a significant interruption or disruption in service at one of our hubs or other airports where we have a significant presence, such as lhr, resulting from atc delays, weather conditions, natural disasters, growth constraints, performance by third-party service providers (such as electric utility or telecommunications providers), failure of computer systems, disruptions at airport facilities or other key facilities used by us to manage our operations (such as occurred in the united kingdom at lgw on december 20, 2018 and lhr on january 8, 2019 due to unauthorized drone activity), labor relations, power supplies, fuel supplies, terrorist activities, or otherwise could result in the cancellation or delay of a significant portion of our flights and, as a result, could have a severe impact on our business, results of operations and financial condition."
"NONE","we have limited control, particularly in the short-term, over the operation, quality or maintenance of many of the services on which our operations depend and over whether vendors of such services will improve or continue to provide services that are essential to our business."
"obtain","if we are unable to obtain and maintain adequate facilities and infrastructure throughout our system and, at some airports, adequate slots, we may be unable to operate our existing flight schedule and to expand or change our route network in the future, which may have a material adverse impact on our operations."
"maintain","if we are unable to obtain and maintain adequate facilities and infrastructure throughout our system and, at some airports, adequate slots, we may be unable to operate our existing flight schedule and to expand or change our route network in the future, which may have a material adverse impact on our operations."
"may","if we are unable to obtain and maintain adequate facilities and infrastructure throughout our system and, at some airports, adequate slots, we may be unable to operate our existing flight schedule and to expand or change our route network in the future, which may have a material adverse impact on our operations."
"operate","if we are unable to obtain and maintain adequate facilities and infrastructure throughout our system and, at some airports, adequate slots, we may be unable to operate our existing flight schedule and to expand or change our route network in the future, which may have a material adverse impact on our operations."
"existing","if we are unable to obtain and maintain adequate facilities and infrastructure throughout our system and, at some airports, adequate slots, we may be unable to operate our existing flight schedule and to expand or change our route network in the future, which may have a material adverse impact on our operations."
"expand","if we are unable to obtain and maintain adequate facilities and infrastructure throughout our system and, at some airports, adequate slots, we may be unable to operate our existing flight schedule and to expand or change our route network in the future, which may have a material adverse impact on our operations."
"change","if we are unable to obtain and maintain adequate facilities and infrastructure throughout our system and, at some airports, adequate slots, we may be unable to operate our existing flight schedule and to expand or change our route network in the future, which may have a material adverse impact on our operations."
"may","if we are unable to obtain and maintain adequate facilities and infrastructure throughout our system and, at some airports, adequate slots, we may be unable to operate our existing flight schedule and to expand or change our route network in the future, which may have a material adverse impact on our operations."
"NONE","in order to operate our existing and proposed flight schedule and, where desirable, add service along new or existing routes, we must be able to maintain and/or obtain adequate gates, check-in counters, operations areas, operations control facilities and administrative support space."
"NONE","as airports around the world become more congested, it may not be possible for us to ensure that our plans for new service can be implemented in a commercially viable manner, given operating constraints at airports throughout our network, including those imposed by inadequate facilities at desirable airports."
"NONE","21in light of constraints on existing facilities, there is presently a significant amount of capital spending underway at major airports in the united states, including large projects underway at a number of airports where we have significant operations, such as ord, lax, lga and dca."
"expected","this spending is expected to result in increased costs to airlines and the traveling public that use those facilities as the airports seek to recover their investments through increased rental, landing and other facility costs."
"result","this spending is expected to result in increased costs to airlines and the traveling public that use those facilities as the airports seek to recover their investments through increased rental, landing and other facility costs."
"increased","this spending is expected to result in increased costs to airlines and the traveling public that use those facilities as the airports seek to recover their investments through increased rental, landing and other facility costs."
"traveling","this spending is expected to result in increased costs to airlines and the traveling public that use those facilities as the airports seek to recover their investments through increased rental, landing and other facility costs."
"use","this spending is expected to result in increased costs to airlines and the traveling public that use those facilities as the airports seek to recover their investments through increased rental, landing and other facility costs."
"seek","this spending is expected to result in increased costs to airlines and the traveling public that use those facilities as the airports seek to recover their investments through increased rental, landing and other facility costs."
"recover","this spending is expected to result in increased costs to airlines and the traveling public that use those facilities as the airports seek to recover their investments through increased rental, landing and other facility costs."
"increased","this spending is expected to result in increased costs to airlines and the traveling public that use those facilities as the airports seek to recover their investments through increased rental, landing and other facility costs."
"NONE","in some circumstances, such costs could be imposed by the relevant airport authority without our approval."
"expected","accordingly, our operating costs are expected to increase significantly at many airports at which we operate, including a number of our hubs and gateways, as a result of capital spending projects currently underway and additional projects that we expect to commence over the next several years."
"increase","accordingly, our operating costs are expected to increase significantly at many airports at which we operate, including a number of our hubs and gateways, as a result of capital spending projects currently underway and additional projects that we expect to commence over the next several years."
"operate","accordingly, our operating costs are expected to increase significantly at many airports at which we operate, including a number of our hubs and gateways, as a result of capital spending projects currently underway and additional projects that we expect to commence over the next several years."
"including","accordingly, our operating costs are expected to increase significantly at many airports at which we operate, including a number of our hubs and gateways, as a result of capital spending projects currently underway and additional projects that we expect to commence over the next several years."
"expect","accordingly, our operating costs are expected to increase significantly at many airports at which we operate, including a number of our hubs and gateways, as a result of capital spending projects currently underway and additional projects that we expect to commence over the next several years."
"commence","accordingly, our operating costs are expected to increase significantly at many airports at which we operate, including a number of our hubs and gateways, as a result of capital spending projects currently underway and additional projects that we expect to commence over the next several years."
"NONE","in addition, operations at three major domestic airports, certain smaller domestic airports and many foreign airports served by us are regulated by governmental entities through the use of slots or similar regulatory mechanisms that limit the rights of carriers to conduct operations at those airports."
"NONE","each slot represents the authorization to land at or take off from the particular airport during a specified time period and may have other operational restrictions as well."
"NONE","in the u. s. , the dot and the faa currently regulate the allocation of slots or slot exemptions at dca and two new york city airports: jfk and lga."
"NONE","our operations at these airports generally require the allocation of slots or similar regulatory authority."
"NONE","in addition to slot restrictions, operations at lga and dca are also limited based on a so-called “perimeter rule” which generally limits the stage length of the flights that can be operated from those airports to 1,500 and 1,250 miles, respectively."
"NONE","similarly, our operations at lhr, international airports in beijing, frankfurt, paris, tokyo and other airports outside the u. s.  are regulated by local slot authorities pursuant to the iata worldwide scheduling guidelines and/or applicable local law."
"could","termination of slot controls at some or all of the foregoing airports could affect our operational performance and competitive position."
"NONE","we currently have sufficient slots or analogous authorizations to operate our existing flights and we have generally, but not always, been able to obtain the rights to expand our operations and to change our schedules."
"will","however, there is no assurance that we will be able to obtain sufficient slots or analogous authorizations in the future or as to the cost of acquiring such rights because, among other reasons, such allocations are often sought after by other airlines and are subject to changes in governmental policies."
"obtain","however, there is no assurance that we will be able to obtain sufficient slots or analogous authorizations in the future or as to the cost of acquiring such rights because, among other reasons, such allocations are often sought after by other airlines and are subject to changes in governmental policies."
"acquiring","however, there is no assurance that we will be able to obtain sufficient slots or analogous authorizations in the future or as to the cost of acquiring such rights because, among other reasons, such allocations are often sought after by other airlines and are subject to changes in governmental policies."
"sought","however, there is no assurance that we will be able to obtain sufficient slots or analogous authorizations in the future or as to the cost of acquiring such rights because, among other reasons, such allocations are often sought after by other airlines and are subject to changes in governmental policies."
"can","we cannot provide any assurance that regulatory changes regarding the allocation of slots, the continued enforcement of a perimeter rule or similar regulatory authority will not have a material adverse impact on our operations."
"provide","we cannot provide any assurance that regulatory changes regarding the allocation of slots, the continued enforcement of a perimeter rule or similar regulatory authority will not have a material adverse impact on our operations."
"regarding","we cannot provide any assurance that regulatory changes regarding the allocation of slots, the continued enforcement of a perimeter rule or similar regulatory authority will not have a material adverse impact on our operations."
"continued","we cannot provide any assurance that regulatory changes regarding the allocation of slots, the continued enforcement of a perimeter rule or similar regulatory authority will not have a material adverse impact on our operations."
"will","we cannot provide any assurance that regulatory changes regarding the allocation of slots, the continued enforcement of a perimeter rule or similar regulatory authority will not have a material adverse impact on our operations."
"NONE","our ability to provide service can also be impaired at airports, such as ord and lax where the airport gate and other facilities are currently inadequate to accommodate all of the service that we would like to provide, or airports such as dallas love field airport where we have no access to gates at all."
"acquire","any limitation on our ability to acquire or maintain adequate gates, ticketing facilities, operations areas, operations control facilities, slots (where applicable), or office space could have a material adverse effect on our business, results of operations and financial condition."
"maintain","any limitation on our ability to acquire or maintain adequate gates, ticketing facilities, operations areas, operations control facilities, slots (where applicable), or office space could have a material adverse effect on our business, results of operations and financial condition."
"ticketing","any limitation on our ability to acquire or maintain adequate gates, ticketing facilities, operations areas, operations control facilities, slots (where applicable), or office space could have a material adverse effect on our business, results of operations and financial condition."
"control","any limitation on our ability to acquire or maintain adequate gates, ticketing facilities, operations areas, operations control facilities, slots (where applicable), or office space could have a material adverse effect on our business, results of operations and financial condition."
"could","any limitation on our ability to acquire or maintain adequate gates, ticketing facilities, operations areas, operations control facilities, slots (where applicable), or office space could have a material adverse effect on our business, results of operations and financial condition."
"encounter","if we encounter problems with any of our third-party regional operators or third-party service providers, our operations could be adversely affected by a resulting decline in revenue or negative public perception about our services."
"could","if we encounter problems with any of our third-party regional operators or third-party service providers, our operations could be adversely affected by a resulting decline in revenue or negative public perception about our services."
"resulting","if we encounter problems with any of our third-party regional operators or third-party service providers, our operations could be adversely affected by a resulting decline in revenue or negative public perception about our services."
